PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
39159003,Treatment of Acute Myeloid Leukemia in the Community Setting.,2024-Sep-06,Vicki A Morrison; Ashley Woods; Kelly Norsworthy; Romeo Angelo de Claro; Marc R Theoret; Elizabeth Dianne Pulte,"Hennepin County Medical Center, University of Minnesota, Minneapolis, MN, USA.; Center for Drug Evaluation and Research, U.S. Food and Drug Administration, Silver Spring, MD, USA.; Center for Drug Evaluation and Research, U.S. Food and Drug Administration, Silver Spring, MD, USA.; Center for Drug Evaluation and Research, U.S. Food and Drug Administration, Silver Spring, MD, USA.; Oncology Center of Excellence, U.S. Food and Drug Administration, Silver Spring, MD, USA.; Center for Drug Evaluation and Research, U.S. Food and Drug Administration, Silver Spring, MD, USA.",N/A
39132175,Ascertainment of ,2024-N/A-N/A,Rohan Gupta,"College of Medicine, State University of New York Upstate Medical University, Syracuse, New York.",N/A
39109450,Usability and Tolerability of Virtual Reality-Based Cognitive Stimulation in Healthy Elderly Volunteers-A Feasibility Clinical Trial.,2024-Aug-07,Faisal N Masud,"Center for Critical Care, Houston Methodist Hospital, Weill Cornell Graduate School of Medical Sciences, Houston, Texas, USA.",N/A
38581083,Quantified trends in provider reimbursement and utilization volume in colorectal cancer screenings: analysis of Medicare claims from 2000 to 2019.,2024-May-N/A,Vikas L Bommineni; Rohan Gupta,"Harvard Medical School, Boston, Massachusetts, USA.; Norton College of Medicine, State University of New York Upstate Medical University, Syracuse, New York, USA.",N/A
37860057,Sync for Genes Phase 5: Computable artifacts for sharing dynamically annotated FHIR-formatted genomic variants.,2023-Oct-N/A,Ammar Husami; Lawrence Babb,Cincinnati Children's Hospital Medical Center Cincinnati Ohio USA.; Medical and Population Genetics Broad Institute of MIT and Harvard Cambridge Massachusetts USA.,N/A
37858622,Emerging trends in post-translational modification: Shedding light on Glioblastoma multiforme.,2023-Nov-N/A,Smita Kumari; Rohan Gupta; Rashmi K Ambasta; Pravir Kumar,"Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological, University, India.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological, University, India; School of Medicine, University of South Carolina, Columbia, SC, United States of America.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological, University, India; Department of Biotechnology and Microbiology, SRM University, Sonepat, Haryana, India. Electronic address: rashmi.ambasta@srmuniversity.ac.in.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological, University, India. Electronic address: pravirkumar@dtu.ac.in.",rashmi.ambasta@srmuniversity.ac.in
37639958,"National audit of pathways in epileptic seizure referrals (NAPIER): A national, multicentre audit of first seizure clinics throughout the UK and Ireland.",2023-Oct-N/A,Armin Nazari; Anthony Marson,"University of Dundee Medical School, University of Dundee, UK.; Department of Neurology, The Walton Centre NHS Foundation Trust, UK; Department of Pharmacology and Therapeutics, Institute of Systems, Molecular and Integrative Biology, University of Liverpool, UK.",Seonghoon.Lee@nhs.scot
37458987,Dissecting the Relationship Between Neuropsychiatric and Neurodegenerative Disorders.,2023-Nov-N/A,Rohan Gupta; Dia Advani; Divya Yadav; Rashmi K Ambasta; Pravir Kumar,"Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University, Shahbad Daulatpur, Bawana Road, New Delhi, Delhi, 110042, India.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University, Shahbad Daulatpur, Bawana Road, New Delhi, Delhi, 110042, India.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University, Shahbad Daulatpur, Bawana Road, New Delhi, Delhi, 110042, India.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University, Shahbad Daulatpur, Bawana Road, New Delhi, Delhi, 110042, India.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological University, Shahbad Daulatpur, Bawana Road, New Delhi, Delhi, 110042, India. pravirkumar@dtu.ac.in.",pravirkumar@dtu.ac.in
37429545,"New era of artificial intelligence and machine learning-based detection, diagnosis, and therapeutics in Parkinson's disease.",2023-Sep-N/A,Rohan Gupta; Smita Kumari; Rashmi K Ambasta; Pravir Kumar,"Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological, University, USA. Electronic address: rohangupta1394@gmail.com.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological, University, USA.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological, University, USA.; Molecular Neuroscience and Functional Genomics Laboratory, Department of Biotechnology, Delhi Technological, University, USA. Electronic address: kpravir@gmail.com.",rohangupta1394@gmail.com
37245717,Helicobacter pylori Burden in the United States According to Individual Demographics and Geography: A Nationwide Analysis of the Veterans Healthcare System.,2024-Jan-N/A,Shailja C Shah; Alese E Halvorson; David Lee; Rohan Gupta; Jason Denton; Chad Dorn; Otis Wilson; Richard Peek; Samir Gupta; Adriana Hung; Robert Greevy; Christianne L Roumie,"Gastroenterology Section, Jennifer Moreno Department of Veterans Affairs Medical Center, San Diego, California; Division of Gastroenterology, University of California, San Diego, La Jolla, California. Electronic address: s6shah@health.ucsd.edu.; Department of Biostatistics, Vanderbilt University Medical Center, Nashville, Tennessee.; Division of Gastroenterology, University of Maryland Medical Center, Baltimore, Maryland.; College of Medicine, State University of New York Upstate Medical University, Syracuse, New York.; Department of Biomedical Informatics, Vanderbilt University Medical Center, Nashville, Tennessee.; Department of Biomedical Informatics, Vanderbilt University Medical Center, Nashville, Tennessee.; Department of Biomedical Informatics, Vanderbilt University Medical Center, Nashville, Tennessee; Clinical Services Research and Development, VA Tennessee Valley Healthcare System, Nashville, Tennessee.; Division of Gastroenterology, Vanderbilt University Medical Center, Nashville, Tennessee.; Gastroenterology Section, Jennifer Moreno Department of Veterans Affairs Medical Center, San Diego, California; Division of Gastroenterology, University of California, San Diego, La Jolla, California.; Clinical Services Research and Development, VA Tennessee Valley Healthcare System, Nashville, Tennessee; Department of Medicine, Vanderbilt University Medical Center, Nashville, Tennessee.; Department of Biostatistics, Vanderbilt University Medical Center, Nashville, Tennessee; Clinical Services Research and Development, VA Tennessee Valley Healthcare System, Nashville, Tennessee.; Clinical Services Research and Development, VA Tennessee Valley Healthcare System, Nashville, Tennessee; Department of Medicine, Vanderbilt University Medical Center, Nashville, Tennessee; VA Geriatrics Research Education and Clinical Center (GRECC), VA Tennessee Valley Health System, Nashville, Tennessee.",s6shah@health.ucsd.edu
